Year,Lg,Team
2010,NBA,LAL
2009,NBA,LAL
2008,NBA,BOS
2007,NBA,SAS
2006,NBA,MIA
2005,NBA,SAS
2004,NBA,DET
2003,NBA,SAS
2002,NBA,LAL
2001,NBA,LAL
2000,NBA,LAL
1999,NBA,SAS
1998,NBA,CHI
1997,NBA,CHI
1996,NBA,CHI
1995,NBA,HOU
1994,NBA,HOU
1993,NBA,CHI
1992,NBA,CHI
1991,NBA,CHI
1990,NBA,DET
1989,NBA,DET
1988,NBA,LAL
1987,NBA,LAL
1986,NBA,BOS
1985,NBA,LAL
1984,NBA,BOS
1983,NBA,PHI
1982,NBA,LAL
1981,NBA,BOS
1980,NBA,LAL
1979,NBA,SEA
1978,NBA,WSB
1977,NBA,POR
1976,NBA,BOS
1975,NBA,GSW
1974,NBA,BOS
1973,NBA,NYK
1972,NBA,LAL
1971,NBA,MIL
1970,NBA,NYK
1969,NBA,BOS
1968,NBA,BOS
1967,NBA,PHI
1966,NBA,BOS
1965,NBA,BOS
1964,NBA,BOS
1963,NBA,BOS
1962,NBA,BOS
1961,NBA,BOS
1960,NBA,BOS
1959,NBA,BOS
1958,NBA,STL
1957,NBA,BOS
1956,NBA,PHW
1955,NBA,SYR
1954,NBA,MNL
1953,NBA,MNL
1952,NBA,MNL
1951,NBA,ROC
1950,NBA,MNL
